ID,Occupancy,Description,Source,Damage Type,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
125,RES1,"one floor, w/ basement, Structure, V-Zone",FIA,Structure,0,0,0,0,0,0,0,0,0,0.06,0.1,0.18,0.23,0.27,0.32,0.39,0.39,0.43,0.44,0.44,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59
126,RES1,"two floors, w/ basement, Structure, V-Zone",FIA,Structure,0,0,0,0,0,0,0,0.04,0.08,0.11,0.18,0.2,0.23,0.28,0.33,0.38,0.44,0.49,0.51,0.53,0.55,0.57,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7
127,RES1,"three or more floors, w/ basement, Structure, V-Zone",FIA,Structure,0,0,0,0,0,0,0,0.03,0.05,0.06,0.09,0.15,0.2,0.26,0.31,0.33,0.36,0.39,0.42,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59
128,RES1,"split level, w/ basement, Structure, V-Zone",FIA,Structure,0,0,0,0,0,0,0,0,0.05,0.06,0.16,0.19,0.22,0.27,0.32,0.35,0.42,0.48,0.5,0.52,0.54,0.56,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69
129,RES1,"one story, no basement, Structure",USACE - IWR,Structure,0,0,0,0,0,0,0,0,0.03,0.13,0.23,0.32,0.4,0.47,0.53,0.59,0.63,0.67,0.71,0.73,0.75,0.77,0.79,0.8,0.81,0.81,0.82,0.82,0.83,0.83,0.83,0.84,0.84,0.84
130,RES1,"two or more stories, no basement, Structure",USACE - IWR,Structure,0,0,0,0,0,0,0,0,0.03,0.09,0.15,0.21,0.26,0.31,0.36,0.41,0.45,0.49,0.52,0.56,0.59,0.61,0.64,0.66,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.74,0.75,0.75
131,RES1,"split level, no basement, Structure",USACE - IWR,Structure,0,0,0,0,0,0,0,0,0.06,0.07,0.09,0.13,0.17,0.23,0.29,0.36,0.42,0.49,0.56,0.63,0.69,0.74,0.78,0.82,0.84,0.85,0.85,0.86,0.86,0.87,0.87,0.88,0.88,0.89
132,RES1,"one story, no basement, Structure",USACE - Chicago,Structure,0,0,0,0,0,0,0,0,0,0.15,0.16,0.25,0.28,0.29,0.31,0.4,0.43,0.43,0.45,0.46,0.47,0.47,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6
133,RES1,"one story, w/ basement, Structure",USACE - Chicago,Structure,0,0,0,0,0,0,0,0.04,0.08,0.12,0.15,0.2,0.23,0.28,0.33,0.37,0.43,0.48,0.51,0.53,0.55,0.57,0.59,0.61,0.63,0.65,0.67,0.69,0.71,0.73,0.75,0.77,0.79,0.81
134,RES1,"split level, no basement, Structure",USACE - Chicago,Structure,0,0,0,0,0,0,0,0,0,0.03,0.09,0.13,0.25,0.27,0.28,0.33,0.34,0.41,0.43,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59
135,RES1,"split level, w/ basement, Structure",USACE - Chicago,Structure,0,0,0,0,0,0,0,0.03,0.05,0.06,0.16,0.19,0.22,0.27,0.32,0.35,0.36,0.44,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78
136,RES1,"two story, no basement, Structure",USACE - Chicago,Structure,0,0,0,0,0,0,0,0,0,0.08,0.1,0.13,0.18,0.2,0.22,0.24,0.26,0.3,0.34,0.38,0.4,0.42,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55
137,RES1,"two story, w/ basement, Structure",USACE - Chicago,Structure,0,0,0,0,0,0,0,0.03,0.05,0.07,0.11,0.17,0.22,0.28,0.33,0.35,0.38,0.4,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74
138,RES1,"one & 1/2 story, no basement, Structure",USACE - Galveston,Structure,0,0,0,0,0,0,0,0,0,0.1,0.28,0.35,0.41,0.43,0.46,0.48,0.49,0.5,0.5,0.5,0.51,0.51,0.52,0.53,0.55,0.57,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72
139,RES1,"one story, no basement, Structure",USACE - Galveston,Structure,0,0,0,0,0,0,0,0,0,0.1,0.21,0.27,0.32,0.37,0.43,0.46,0.5,0.54,0.58,0.6,0.63,0.67,0.7,0.74,0.79,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9
140,RES1,"two story, no basement, Structure",USACE - Galveston,Structure,0,0,0,0,0,0,0,0,0,0.05,0.21,0.27,0.31,0.34,0.37,0.39,0.4,0.4,0.42,0.44,0.47,0.49,0.52,0.55,0.58,0.6,0.62,0.65,0.67,0.69,0.71,0.73,0.75,0.77
141,RES1,"one story, Pier foundation, structure, fresh water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0.01,0.12,0.42,0.48,0.53,0.54,0.73,0.73,0.73,0.73,0.78,0.78,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
142,RES1,"one story, Pier foundation, structure, fresh water, long duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0.01,0.12,0.42,0.67,0.71,0.71,0.79,0.79,0.79,0.79,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
143,RES1,"one story, Slab foundation, structure, fresh water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0.01,0.22,0.28,0.31,0.33,0.48,0.48,0.48,0.48,0.56,0.56,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
144,RES1,"one story, Slab foundation, structure, fresh water, long duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0.01,0.22,0.39,0.42,0.44,0.48,0.48,0.48,0.48,0.56,0.56,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
145,RES1,"one story, Pier foundation, structure, salt water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0.01,0.13,0.46,0.53,0.58,0.59,0.8,0.8,0.8,0.8,0.86,0.86,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
146,RES1,"one story, Pier foundation, structure, salt water, long duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0.01,0.15,0.5,0.7,0.71,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
147,RES1,"one story, Slab foundation, structure, salt water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0.01,0.23,0.31,0.35,0.36,0.53,0.53,0.53,0.53,0.62,0.62,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
148,RES1,"one story, Slab foundation, structure, salt water, long duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0.01,0.23,0.42,0.45,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
149,RES1,"one story, Structure,  fresh water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0,0.42,0.58,0.78,0.84,0.87,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
150,RES1,"one story, Structure,  fresh water, long duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0,0.83,0.89,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
151,RES1,"one story, Structure, salt water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0,0.5,0.66,0.81,0.86,0.9,0.91,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
152,RES1,"one story, Structure, salt water, long duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0,0.95,0.95,0.95,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
153,RES1,"one story, Pier foundation, structure, fresh water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0.04,0.21,0.42,0.52,0.53,0.57,0.67,0.67,0.67,0.67,0.74,0.74,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
154,RES1,"one story, Slab foundation, structure, fresh water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0.04,0.34,0.4,0.41,0.47,0.59,0.59,0.59,0.59,0.7,0.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
155,RES1,"one story, Pier foundation, structure, salt water, long duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0.04,0.21,0.62,0.66,0.66,0.69,0.72,0.72,0.72,0.72,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
156,RES1,"one story, Slab foundation, structure, salt water, long duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0.07,0.56,0.59,0.59,0.63,0.66,0.66,0.66,0.66,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
157,RES1,"two story, Pier foundation, structure, fresh water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0.01,0.06,0.18,0.22,0.23,0.29,0.36,0.36,0.36,0.39,0.42,0.46,0.55,0.55,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
158,RES1,"two story, Pier foundation, structure, fresh water, long duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0.01,0.06,0.18,0.32,0.33,0.36,0.4,0.4,0.4,0.42,0.42,0.56,0.59,0.59,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
159,RES1,"two story, Slab foundation, structure, fresh water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0.01,0.15,0.19,0.21,0.22,0.34,0.34,0.34,0.35,0.38,0.4,0.48,0.51,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
160,RES1,"two story, Slab foundation, structure, fresh water, long duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0.01,0.15,0.27,0.29,0.29,0.35,0.35,0.35,0.35,0.38,0.47,0.51,0.53,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57
161,RES1,"two story, Pier foundation, structure, salt water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0.01,0.06,0.19,0.25,0.25,0.31,0.39,0.39,0.39,0.43,0.46,0.51,0.6,0.6,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
162,RES1,"two story, Pier foundation, structure, salt  water, long duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0.01,0.06,0.19,0.33,0.33,0.93,0.93,0.93,0.93,0.93,0.93,0.94,0.94,0.94,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
163,RES1,"two story, Slab foundation, structure, salt water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0.01,0.16,0.21,0.23,0.25,0.38,0.38,0.38,0.39,0.41,0.44,0.52,0.57,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
164,RES1,"two story, Slab foundation, structure, salt water, long duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0.01,0.16,0.27,0.29,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
165,RES1,"two story, Structure, fresh water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0,0.38,0.5,0.67,0.73,0.76,0.78,0.78,0.78,0.78,0.78,0.86,0.88,0.91,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
166,RES1,"two story, Structure,  fresh water, long duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0,0.67,0.73,0.76,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.91,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92
167,RES1,"two story, Structure, salt water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0,0.45,0.57,0.7,0.75,0.79,0.8,0.83,0.83,0.83,0.83,0.91,0.94,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
168,RES1,"two story, Structure,  salt water, long duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0,0.7,0.75,0.79,0.8,0.83,0.83,0.83,0.83,0.83,0.83,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
169,RES1,"two story, Pier foundation, structure, fresh water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0.04,0.12,0.25,0.33,0.34,0.36,0.42,0.42,0.42,0.42,0.53,0.62,0.66,0.66,0.67,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
170,RES1,"two story, Slab foundation, structure, fresh water, long  duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0.03,0.25,0.29,0.3,0.33,0.4,0.4,0.4,0.4,0.48,0.55,0.58,0.58,0.6,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
171,RES1,"two story, Pier foundation, structure, salt  water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0.04,0.18,0.54,0.55,0.55,0.57,0.6,0.6,0.6,0.6,0.63,0.71,0.73,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
172,RES1,"two story, Slab foundation, structure, salt water, long duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0,0.05,0.44,0.46,0.5,0.52,0.52,0.52,0.52,0.52,0.56,0.66,0.68,0.68,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
173,RES1,"one story, Structure",USACE - St. Paul,Structure,0,0,0,0,0,0,0,0,0,0.11,0.32,0.39,0.41,0.46,0.51,0.54,0.54,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
174,RES1,"two story, Structure",USACE - St. Paul,Structure,0,0,0,0,0,0,0,0,0,0.06,0.18,0.2,0.22,0.25,0.27,0.29,0.29,0.32,0.36,0.45,0.45,0.45,0.47,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
175,RES1,"one & 1/2 story, Pile foundation, structure",USACE - Wilmington,Structure,0,0,0,0,0,0.03,0.04,0.04,0.04,0.08,0.11,0.19,0.28,0.3,0.34,0.36,0.37,0.39,0.41,0.43,0.45,0.46,0.47,0.49,0.5,0.51,0.53,0.55,0.57,0.6,0.73,0.87,1,1
176,RES1,"one & 1/2 story, Structure",USACE - Wilmington,Structure,0,0,0,0,0,0.01,0.01,0.01,0.01,0.08,0.11,0.18,0.22,0.25,0.29,0.32,0.34,0.37,0.39,0.42,0.44,0.45,0.47,0.48,0.5,0.51,0.53,0.55,0.57,0.6,0.65,0.7,0.75,0.75
177,RES1,"one & 1/2 story w/ 1/2 living area below, Structure",USACE - Wilmington,Structure,0,0,0,0,0,0,0,0,0,0.01,0.03,0.04,0.06,0.08,0.09,0.11,0.13,0.15,0.21,0.27,0.35,0.37,0.41,0.43,0.46,0.49,0.51,0.53,0.55,0.57,0.71,0.86,1,1
178,RES1,"one story, Pile foundation, structure",USACE - Wilmington,Structure,0,0,0,0,0,0.04,0.04,0.05,0.06,0.09,0.14,0.23,0.36,0.39,0.46,0.47,0.49,0.5,0.52,0.54,0.58,0.62,0.66,0.7,0.74,0.8,0.81,0.83,0.84,0.85,0.9,0.95,1,1
179,RES1,"one story, Structure",USACE - Wilmington,Structure,0,0,0,0,0,0.01,0.01,0.01,0.01,0.09,0.14,0.23,0.28,0.32,0.36,0.39,0.43,0.46,0.49,0.52,0.56,0.6,0.64,0.68,0.73,0.8,0.81,0.83,0.84,0.85,0.85,0.85,0.85,0.85
180,RES1,"one story w/ 1/2 living area below, Structure",USACE - Wilmington,Structure,0,0,0,0,0,0,0,0.01,0.01,0.01,0.04,0.06,0.08,0.1,0.12,0.14,0.17,0.2,0.21,0.32,0.42,0.45,0.49,0.53,0.57,0.61,0.63,0.64,0.66,0.68,0.78,0.89,1,1
181,RES1,"one story w/ basement, Structure",USACE - Wilmington,Structure,0,0,0,0,0,0.04,0.04,0.05,0.08,0.1,0.14,0.22,0.26,0.28,0.33,0.37,0.41,0.45,0.49,0.54,0.57,0.6,0.63,0.69,0.74,0.8,0.84,0.84,0.85,0.85,0.9,0.95,1,1
182,RES1,"split level, Structure",USACE - Wilmington,Structure,0,0,0,0,0,0,0,0,0,0.03,0.05,0.07,0.11,0.16,0.2,0.25,0.29,0.34,0.38,0.43,0.47,0.51,0.54,0.58,0.62,0.67,0.69,0.72,0.75,0.78,0.8,0.82,0.84,0.84
183,RES1,"two story, Pile foundation, structure",USACE - Wilmington,Structure,0,0,0,0,0,0.03,0.03,0.03,0.04,0.07,0.09,0.15,0.23,0.25,0.29,0.31,0.32,0.34,0.35,0.37,0.4,0.44,0.48,0.51,0.55,0.57,0.6,0.62,0.65,0.68,0.78,0.89,1,1
184,RES1,"two story, Structure",USACE - Wilmington,Structure,0,0,0,0,0,0,0,0.01,0.01,0.07,0.09,0.15,0.18,0.22,0.25,0.27,0.29,0.32,0.34,0.36,0.4,0.43,0.47,0.5,0.54,0.57,0.6,0.62,0.65,0.68,0.71,0.74,0.77,0.77
185,RES1,"two story w/ 1/2 living area below, Structure",USACE - Wilmington,Structure,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0.05,0.07,0.08,0.1,0.1,0.13,0.16,0.21,0.26,0.32,0.36,0.38,0.41,0.43,0.45,0.48,0.51,0.55,0.7,0.85,1,1
189,RES2,"Mobile home, structure, A-Zone",FIA,Structure,0,0,0,0,0,0,0,0,0,0.11,0.44,0.63,0.73,0.78,0.79,0.81,0.82,0.83,0.84,0.85,0.86,0.88,0.89,0.9,0.91,0.92,0.94,0.95,0.96,0.97,0.98,0.99,1,1
190,RES2,"Mobile home, structure, V-Zone",FIA,Structure,0,0,0,0,0,0,0,0,0,0.08,0.45,0.64,0.74,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99
191,RES2,"Mobile Home, structure",USACE - Chicago,Structure,0,0,0,0,0,0,0,0,0,0.1,0.44,0.63,0.73,0.78,0.8,0.81,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
192,RES2,"Mobile Home, structure",USACE - Galveston,Structure,0,0,0,0,0,0,0,0,0,0.14,0.19,0.31,0.54,0.93,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
193,RES2,"Mobile Home, structure, fresh water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0.06,0.1,0.45,0.46,0.46,0.5,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
194,RES2,"Mobile Home, structure, fresh water, long duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0.06,0.1,0.45,0.46,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
195,RES2,"Mobile Home, structure, salt water, short duration",USACE - New Orleans,Structure,0,0,0,0,0,0,0,0,0.06,0.1,0.45,0.47,0.47,0.51,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
